position,title,year,duration,age_rating,imdb_rating,votes,metascore,plot,href,cover,cover_alt
1, Kaveri,No Year,No Duration,No Age Rating,10, (1 mil),No Metascore,"Vikram Simha, a dedicated cop known for his unwavering support for women in trouble, is called to action when Kaveri is brutally assaulted. As she seeks revenge, Vikram must navigate a web of deceit and danger.",https://www.imdb.com//title/tt33075815/?ref_=sr_t_1,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOTlhODkwZDktNjQ5NC00MDdjLWExOGUtMDQxZjliZDQxYjY1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOTlhODkwZDktNjQ5NC00MDdjLWExOGUtMDQxZjliZDQxYjY1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOTlhODkwZDktNjQ5NC00MDdjLWExOGUtMDQxZjliZDQxYjY1XkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOTlhODkwZDktNjQ5NC00MDdjLWExOGUtMDQxZjliZDQxYjY1XkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
2, Dhaya Bharati,No Year,No Duration,No Age Rating,10, (254),No Metascore,The story of this film takes place in the backdrop of a one-teacher tribal school in a forest. Two teachers who have been there many times react against the brutal exploitation of tribals in the villages.,https://www.imdb.com//title/tt31173309/?ref_=sr_t_2,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYTk3OGYyYzEtYjY1Zi00ZjMyLThjYmUtN2M0N2VmYzM5Y2Q2XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYTk3OGYyYzEtYjY1Zi00ZjMyLThjYmUtN2M0N2VmYzM5Y2Q2XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYTk3OGYyYzEtYjY1Zi00ZjMyLThjYmUtN2M0N2VmYzM5Y2Q2XkEyXkFqcGc@._V1_QL75_UY311_CR19,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYTk3OGYyYzEtYjY1Zi00ZjMyLThjYmUtN2M0N2VmYzM5Y2Q2XkEyXkFqcGc@._V1_QL75_UY414_CR26,0,280,414_.jpg 280w"
3, Tujhe Pass Pa Loo,No Year,No Duration,No Age Rating,10, (150),No Metascore,Official music video of Tujhe Pass Pa Loo by Priyank Das and Mukesh Officials.,https://www.imdb.com//title/tt33246732/?ref_=sr_t_3,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYjRiNWVhZGEtYjI3OS00NTU2LWFlY2EtZjQ5MDBjZjc0ZDg2XkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYjRiNWVhZGEtYjI3OS00NTU2LWFlY2EtZjQ5MDBjZjc0ZDg2XkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYjRiNWVhZGEtYjI3OS00NTU2LWFlY2EtZjQ5MDBjZjc0ZDg2XkEyXkFqcGc@._V1_QL75_UY311_CR50,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYjRiNWVhZGEtYjI3OS00NTU2LWFlY2EtZjQ5MDBjZjc0ZDg2XkEyXkFqcGc@._V1_QL75_UY414_CR67,0,280,414_.jpg 280w"
4, Happy Hacker's Day,No Year,No Duration,No Age Rating,"9,9", (138),No Metascore,"The story of the Youngest Hacker Boy, Who hack the people on him/her Birthday to surprise. The Boy is very intelligent . Rohit Chouhan said that in this Story he has written something amazing to fall you in the Story. The story has the greatest Suspense.",https://www.imdb.com//title/tt13088688/?ref_=sr_t_4,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BODNkYTEyMGQtMzEwYi00OWY5LTlhZTAtOTRkMzk1YTkwOWRlXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BODNkYTEyMGQtMzEwYi00OWY5LTlhZTAtOTRkMzk1YTkwOWRlXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BODNkYTEyMGQtMzEwYi00OWY5LTlhZTAtOTRkMzk1YTkwOWRlXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BODNkYTEyMGQtMzEwYi00OWY5LTlhZTAtOTRkMzk1YTkwOWRlXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
5, Peppatty,No Year,No Duration,No Age Rating,"9,9", (110),No Metascore,No Plot,https://www.imdb.com//title/tt30790410/?ref_=sr_t_5,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMmI3NzFkNzYtMzlmNC00ODI5LTk5YmItN2NhZmNkNWMwODdjXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMmI3NzFkNzYtMzlmNC00ODI5LTk5YmItN2NhZmNkNWMwODdjXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMmI3NzFkNzYtMzlmNC00ODI5LTk5YmItN2NhZmNkNWMwODdjXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMmI3NzFkNzYtMzlmNC00ODI5LTk5YmItN2NhZmNkNWMwODdjXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
6, Dollarspete,No Year,No Duration,No Age Rating,"9,9", (219),No Metascore,A bank manager's inadvertent transfer of Rs 13 crore leads to a chaotic situation as the money gets dispersed across 100 different accounts.,https://www.imdb.com//title/tt27843025/?ref_=sr_t_6,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNTYzNWFmMzgtOGJlMi00YTgyLTg4YWUtMzIxMWJkYzRkZDhkXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNTYzNWFmMzgtOGJlMi00YTgyLTg4YWUtMzIxMWJkYzRkZDhkXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNTYzNWFmMzgtOGJlMi00YTgyLTg4YWUtMzIxMWJkYzRkZDhkXkEyXkFqcGc@._V1_QL75_UY311_CR19,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNTYzNWFmMzgtOGJlMi00YTgyLTg4YWUtMzIxMWJkYzRkZDhkXkEyXkFqcGc@._V1_QL75_UY414_CR26,0,280,414_.jpg 280w"
7, Aima,No Year,No Duration,No Age Rating,"9,9", (113),No Metascore,Adam and Mariyam has been kidnapped and kept in a haunted bungalow in the middle of the forest. How they are escaping from that house and finding the reason for their kidnap.,https://www.imdb.com//title/tt28999528/?ref_=sr_t_7,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BN2RlOWU0NjgtZTdkNC00NmQ3LWIxMmMtZjk2ZDcwY2Q2ZmMwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BN2RlOWU0NjgtZTdkNC00NmQ3LWIxMmMtZjk2ZDcwY2Q2ZmMwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BN2RlOWU0NjgtZTdkNC00NmQ3LWIxMmMtZjk2ZDcwY2Q2ZmMwXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BN2RlOWU0NjgtZTdkNC00NmQ3LWIxMmMtZjk2ZDcwY2Q2ZmMwXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
8, Chithini,No Year,No Duration,No Age Rating,"9,8", (538),No Metascore,"Chithini is an upcoming Malayalam language feature film Directed by East Coast Vijayan. Details regarding the plot of 'Chithini' are yet to be disclosed. However, given its genre as a horror family emotional thriller.",https://www.imdb.com//title/tt30835984/?ref_=sr_t_8,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYzU1YWUyYjktYTk0Ni00ZmU1LTlhZjktMDJlY2Q1NTA4YTdjXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYzU1YWUyYjktYTk0Ni00ZmU1LTlhZjktMDJlY2Q1NTA4YTdjXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYzU1YWUyYjktYTk0Ni00ZmU1LTlhZjktMDJlY2Q1NTA4YTdjXkEyXkFqcGc@._V1_QL75_UY311_CR1,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYzU1YWUyYjktYTk0Ni00ZmU1LTlhZjktMDJlY2Q1NTA4YTdjXkEyXkFqcGc@._V1_QL75_UY414_CR2,0,280,414_.jpg 280w"
9, Klaantha,No Year,No Duration,No Age Rating,"9,8", (505),No Metascore,"While trekking,cute lovers get caught up in a mess by a gang in the forest. Can they overcome all obstacles and return home?.",https://www.imdb.com//title/tt30140879/?ref_=sr_t_9,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZGUzNDYxZWItYzNmNS00YTBkLTlmZjktZjA4YWQ0OTQ5YWFhXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZGUzNDYxZWItYzNmNS00YTBkLTlmZjktZjA4YWQ0OTQ5YWFhXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZGUzNDYxZWItYzNmNS00YTBkLTlmZjktZjA4YWQ0OTQ5YWFhXkEyXkFqcGc@._V1_QL75_UY311_CR4,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZGUzNDYxZWItYzNmNS00YTBkLTlmZjktZjA4YWQ0OTQ5YWFhXkEyXkFqcGc@._V1_QL75_UY414_CR5,0,280,414_.jpg 280w"
10, Ranchi,No Year,No Duration,No Age Rating,"9,8", (123),No Metascore,A struggling filmmaker from Bangalore helps the police department of Jharkhand to trace a massive crime syndicate that has been trapping and looting many filmmakers.,https://www.imdb.com//title/tt11230804/?ref_=sr_t_10,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNTE2NTVhYjctZmM4NS00Y2ZjLWFiNGUtNGY1NGMxY2ViNjQ4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNTE2NTVhYjctZmM4NS00Y2ZjLWFiNGUtNGY1NGMxY2ViNjQ4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNTE2NTVhYjctZmM4NS00Y2ZjLWFiNGUtNGY1NGMxY2ViNjQ4XkEyXkFqcGc@._V1_QL75_UX210_CR0,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNTE2NTVhYjctZmM4NS00Y2ZjLWFiNGUtNGY1NGMxY2ViNjQ4XkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg 280w"
11, Saddu Vicharane Nadeyuttide,No Year,No Duration,No Age Rating,"9,8", (301),No Metascore,The Mysterious case of inter-caste missing couple creates Media Uproar is handed over by police department to dynamic crime branch officer Pruthvi Raj who cracks the case which has Twists and Turns,https://www.imdb.com//title/tt23846686/?ref_=sr_t_11,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMzY0ZTQ2NzUtZDU5OS00NzVmLTg5YWItNzQ2ODcwOTc3OGY2XkEyXkFqcGc@._V1_QL75_UX140_CR0,35,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMzY0ZTQ2NzUtZDU5OS00NzVmLTg5YWItNzQ2ODcwOTc3OGY2XkEyXkFqcGc@._V1_QL75_UX140_CR0,35,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMzY0ZTQ2NzUtZDU5OS00NzVmLTg5YWItNzQ2ODcwOTc3OGY2XkEyXkFqcGc@._V1_QL75_UX210_CR0,54,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMzY0ZTQ2NzUtZDU5OS00NzVmLTg5YWItNzQ2ODcwOTc3OGY2XkEyXkFqcGc@._V1_QL75_UX280_CR0,71,280,414_.jpg 280w"
12, The Legend of Hanuman,No Year,No Duration,No Age Rating,"9,8", (196),No Metascore,"In this VR experience ,a cultural memory was recreated where the viewer is immersed in the spiritual guidance of the hero to emote and reflect. The setting of the universe traverses our current space and brings a mysterious and dark vastness.",https://www.imdb.com//title/tt8989454/?ref_=sr_t_12,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BM2I0ZWRhMzQtZGJhOS00YjM2LWE4YjktMTUxZmNkNWNhN2JmXkEyXkFqcGc@._V1_QL75_UY207_CR114,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BM2I0ZWRhMzQtZGJhOS00YjM2LWE4YjktMTUxZmNkNWNhN2JmXkEyXkFqcGc@._V1_QL75_UY207_CR114,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BM2I0ZWRhMzQtZGJhOS00YjM2LWE4YjktMTUxZmNkNWNhN2JmXkEyXkFqcGc@._V1_QL75_UY311_CR171,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BM2I0ZWRhMzQtZGJhOS00YjM2LWE4YjktMTUxZmNkNWNhN2JmXkEyXkFqcGc@._V1_QL75_UY414_CR228,0,280,414_.jpg 280w"
13, Ondolle Love Story,No Year,No Duration,No Age Rating,"9,8", (108),No Metascore,This generation gets addicted to alcohol and drugs when they have issues. Ondolle Love story addresses the issue and sends a strong message on how one can manage these difficulties.,https://www.imdb.com//title/tt26754306/?ref_=sr_t_13,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOWIxNDc1NDctYjhiZi00NmExLTk1ZDQtM2JjZDNiOGZiNjc3XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOWIxNDc1NDctYjhiZi00NmExLTk1ZDQtM2JjZDNiOGZiNjc3XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOWIxNDc1NDctYjhiZi00NmExLTk1ZDQtM2JjZDNiOGZiNjc3XkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOWIxNDc1NDctYjhiZi00NmExLTk1ZDQtM2JjZDNiOGZiNjc3XkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
14, Andhakaara,No Year,No Duration,No Age Rating,"9,8", (105),No Metascore,No Plot,https://www.imdb.com//title/tt31108849/?ref_=sr_t_14,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMDJmNTEzMTAtOGNmOC00ZjE2LTk1NTEtZmI3MjM0MzcyMTg4XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMDJmNTEzMTAtOGNmOC00ZjE2LTk1NTEtZmI3MjM0MzcyMTg4XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMDJmNTEzMTAtOGNmOC00ZjE2LTk1NTEtZmI3MjM0MzcyMTg4XkEyXkFqcGc@._V1_QL75_UY311_CR19,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMDJmNTEzMTAtOGNmOC00ZjE2LTk1NTEtZmI3MjM0MzcyMTg4XkEyXkFqcGc@._V1_QL75_UY414_CR26,0,280,414_.jpg 280w"
15, Jugalbandhi,No Year,No Duration,No Age Rating,"9,8", (141),No Metascore,"A mother, a couple, and a visually impaired person, where all of them will focus on their hunt for finance.",https://www.imdb.com//title/tt16078114/?ref_=sr_t_15,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYzM0YzkyYjQtOWY0Mi00MDQxLTgyNTItODQ3ZmE3YjUyNmVhXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYzM0YzkyYjQtOWY0Mi00MDQxLTgyNTItODQ3ZmE3YjUyNmVhXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYzM0YzkyYjQtOWY0Mi00MDQxLTgyNTItODQ3ZmE3YjUyNmVhXkEyXkFqcGc@._V1_QL75_UY311_CR19,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYzM0YzkyYjQtOWY0Mi00MDQxLTgyNTItODQ3ZmE3YjUyNmVhXkEyXkFqcGc@._V1_QL75_UY414_CR26,0,280,414_.jpg 280w"
16, Sembian Madhevi,No Year,No Duration,No Age Rating,"9,8", (205),No Metascore,"A girl named Mathevi falls in love with Veera, a man from a different caste. Their young love gets interrupted when Mathevi's stepfather, driven by cast pride and violence discovers their relationship.",https://www.imdb.com//title/tt33305590/?ref_=sr_t_16,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNDg4NWNmNTAtZjEyMC00MGY4LWI0ZTEtMzhmYWJmZTM1NTMwXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNDg4NWNmNTAtZjEyMC00MGY4LWI0ZTEtMzhmYWJmZTM1NTMwXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNDg4NWNmNTAtZjEyMC00MGY4LWI0ZTEtMzhmYWJmZTM1NTMwXkEyXkFqcGc@._V1_QL75_UY311_CR8,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNDg4NWNmNTAtZjEyMC00MGY4LWI0ZTEtMzhmYWJmZTM1NTMwXkEyXkFqcGc@._V1_QL75_UY414_CR11,0,280,414_.jpg 280w"
17, The Legend of Hanuman - II,No Year,No Duration,No Age Rating,"9,8", (384),No Metascore,"In this second animated short VR experience, witness the power of the heroic Hanuman as he journey's over the water to Lanka and must face his the challenge of the deadly and powerful, Suarasa.",https://www.imdb.com//title/tt10610928/?ref_=sr_t_17,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOWRmOTA0N2YtYjVhOS00YzkyLWFlOTYtYWZmYTllNzdjNDZkXkEyXkFqcGc@._V1_QL75_UY207_CR86,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOWRmOTA0N2YtYjVhOS00YzkyLWFlOTYtYWZmYTllNzdjNDZkXkEyXkFqcGc@._V1_QL75_UY207_CR86,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOWRmOTA0N2YtYjVhOS00YzkyLWFlOTYtYWZmYTllNzdjNDZkXkEyXkFqcGc@._V1_QL75_UY311_CR128,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOWRmOTA0N2YtYjVhOS00YzkyLWFlOTYtYWZmYTllNzdjNDZkXkEyXkFqcGc@._V1_QL75_UY414_CR171,0,280,414_.jpg 280w"
18, Locker,No Year,No Duration,No Age Rating,"9,8", (126),No Metascore,No Plot,https://www.imdb.com//title/tt30027789/?ref_=sr_t_18,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNDM2M2M4MDctYjRlZC00ODU5LThlNTQtODZiOTJmNjk5NGUyXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNDM2M2M4MDctYjRlZC00ODU5LThlNTQtODZiOTJmNjk5NGUyXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNDM2M2M4MDctYjRlZC00ODU5LThlNTQtODZiOTJmNjk5NGUyXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNDM2M2M4MDctYjRlZC00ODU5LThlNTQtODZiOTJmNjk5NGUyXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
19, Rule Number 4,No Year,No Duration,No Age Rating,"9,8", (133),No Metascore,"In a race against time for survival, a daring ATM van driver must outsmart ruthless dacoits and corrupt officials to rescue his love, her father, and a pregnant stranger.",https://www.imdb.com//title/tt28543819/?ref_=sr_t_19,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYTQyNzU4NWUtZTJkZi00NzZkLWIxMTktYjUyNDE1YWNmZjc0XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYTQyNzU4NWUtZTJkZi00NzZkLWIxMTktYjUyNDE1YWNmZjc0XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYTQyNzU4NWUtZTJkZi00NzZkLWIxMTktYjUyNDE1YWNmZjc0XkEyXkFqcGc@._V1_QL75_UY311_CR11,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYTQyNzU4NWUtZTJkZi00NzZkLWIxMTktYjUyNDE1YWNmZjc0XkEyXkFqcGc@._V1_QL75_UY414_CR16,0,280,414_.jpg 280w"
20, Kandor Mane Kathe,No Year,No Duration,No Age Rating,"9,8", (486),No Metascore,"Yejaman, a lazy man, relies entirely on his parents. After getting married, his bride's family forces him to do household chores when they learn he doesn't work. Will he become responsible?",https://www.imdb.com//title/tt32528712/?ref_=sr_t_20,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZTZlYTBlNDMtMDFkYi00OTlhLTlhMWEtNzkyMGUzMzM5NGJjXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZTZlYTBlNDMtMDFkYi00OTlhLTlhMWEtNzkyMGUzMzM5NGJjXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZTZlYTBlNDMtMDFkYi00OTlhLTlhMWEtNzkyMGUzMzM5NGJjXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZTZlYTBlNDMtMDFkYi00OTlhLTlhMWEtNzkyMGUzMzM5NGJjXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
21, Paramvah,No Year,No Duration,No Age Rating,"9,8", (202),No Metascore,"The life of Param, Who becomes a drug addict following his breakup. Will he recover from his addiction and fulfill his ancestral dreams?",https://www.imdb.com//title/tt28363962/?ref_=sr_t_21,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOWM4MTM0OTctMjE1ZS00OGJhLWEzNzAtYWRhNjMxYmIxZWJiXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOWM4MTM0OTctMjE1ZS00OGJhLWEzNzAtYWRhNjMxYmIxZWJiXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOWM4MTM0OTctMjE1ZS00OGJhLWEzNzAtYWRhNjMxYmIxZWJiXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOWM4MTM0OTctMjE1ZS00OGJhLWEzNzAtYWRhNjMxYmIxZWJiXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
22, Shoshite,No Year,No Duration,No Age Rating,"9,8", (260),No Metascore,"""Shoshite"" translates to ""exploited woman"" in Kannada. Jyoti, a middle-class woman in Karnataka, struggles with infertility while her husband, Kishore, is dominant in their family. Helping friend Savita with a loan, Jyoti faces a crisis when Savita disappears with the money. Jyoti's father, Narayana, mortgages their home to repay the moneylender. With mounting debts and familial pressures, Jyoti navigates the consequences. The story illustrates on middle-class struggles in India, emphasizing the significance of friendship and family support. It underscores the risks of misplaced trust and the urgent need for women's rights awareness and empowerment in Indian society, offering a cautionary narrative.",https://www.imdb.com//title/tt29553451/?ref_=sr_t_22,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMzg1MGM4N2MtMjE3OC00YzRkLTkzNjctYWM2ZWMwYzc0YTkyXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMzg1MGM4N2MtMjE3OC00YzRkLTkzNjctYWM2ZWMwYzc0YTkyXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMzg1MGM4N2MtMjE3OC00YzRkLTkzNjctYWM2ZWMwYzc0YTkyXkEyXkFqcGc@._V1_QL75_UY311_CR5,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMzg1MGM4N2MtMjE3OC00YzRkLTkzNjctYWM2ZWMwYzc0YTkyXkEyXkFqcGc@._V1_QL75_UY414_CR6,0,280,414_.jpg 280w"
23, Super Yoddha (Pocket FM),No Year,No Duration,No Age Rating,"9,7", (237),No Metascore,"The news of Dhruv's fall from grace spread like wildfire throughout the ranks of the Bravery Team. How could someone so young and talented, who had earned the coveted rank of Eklavya, suddenly be reduced to zero? The mystery only deepened as no one seemed to have an explanation for what had happened. But for Dhruv, the blow was even more devastating. He had worked tirelessly for years, pushing himself to his limits and beyond, all in pursuit of greatness. And just when he had thought that he had achieved it, fate had dealt him a cruel hand. For a while, Dhruv was lost in a haze of despair and self-doubt. How could he ever hope to reclaim his former glory? Was he truly meant to be a hero, or had he simply been fooling himself all along? But slowly, the fire within him began to reignite. Dhruv refused to give up on his dreams, even in the face of such crushing defeat. He began to train even harder than before, pushing himself to new heights of strength and skill. And as he trained, Dhruv began to discover a new sense of purpose. He realised that being a hero wasn't just about rank or status - it was about using his abilities to help others, to make a difference in the world. With this newfound sense of purpose, Dhruv began to emerge as a true leader within the Bravery Team. He inspired his fellow heroes with his determination and resilience, and he began to forge new alliances and partnerships that would help them tackle the challenges ahead. Follow Dhruv's journey of self-discovery and heroism in Super Yoddha, a thrilling sci-fi adventure that will take you to the far reaches of the universe. Only on Pocket FM.",https://www.imdb.com//title/tt26939420/?ref_=sr_t_23,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOWU0NWUxMjAtYjRiYy00YjUyLWE5MDQtZWI3MTk5ZjI1MjI3XkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOWU0NWUxMjAtYjRiYy00YjUyLWE5MDQtZWI3MTk5ZjI1MjI3XkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOWU0NWUxMjAtYjRiYy00YjUyLWE5MDQtZWI3MTk5ZjI1MjI3XkEyXkFqcGc@._V1_QL75_UY311_CR50,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOWU0NWUxMjAtYjRiYy00YjUyLWE5MDQtZWI3MTk5ZjI1MjI3XkEyXkFqcGc@._V1_QL75_UY414_CR67,0,280,414_.jpg 280w"
